"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_Kg","weight_class"
"1","2820-P",6,2039.45456519537,"ZGMTN","Los Angeles","California","USA","Local Pumpkin Festival","1292 L","1640 L",480,1995,4,"Hooligan",924.922705304021,"heavy"
"2","2589-P",91,1536.16131311562,"FVRJQ","Los Angeles","California","France","National Pumpkin Festival","1908 Y","1808 A",404,1431,3,"Porcelain Doll",696.671797331347,"heavy"
"3","2608-P",91,1505.53737142403,"JKFLG","Los Angeles","New York","France","National Pumpkin Festival","1369 H","1238 V",422,1532,-3,"Porcelain Doll",682.783388400919,"heavy"
"4","2524-P",76,1487.20525499247,"YIWPW","Los Angeles","Florida","UK","Local Pumpkin Festival","1560 C","1213 T",406,1403,8,"Porcelain Doll",674.469503397946,"heavy"
"5","2529-P",73,1481.74478624295,"HHIFG","New York","California","UK","National Pumpkin Festival","1942 Y","1632 U",423,1506,-7,"Porcelain Doll",671.993100336941,"heavy"
"6","2393-P",91,1443.77780548856,"MBREA","Los Angeles","Florida","UK","National Pumpkin Festival","1759 X","1353 W",417,1487,-3,"Hooligan",654.774514960797,"heavy"
"7","2626-P",87,1426.97475316469,"LTFAE","Chicago","California","France","Local Pumpkin Festival","1353 I","1098 X",379,1165,21,"Porcelain Doll",647.154083067885,"heavy"
"8","2259-P",27,1411.67133921012,"AMCSJ","Houston","New York","USA","Local Pumpkin Festival","1643 D","1273 U",385,1263,9,"Porcelain Doll",640.213759278967,"heavy"
"9","2211-P",52,1405.1876427047,"XVUVU","Nottingham","Florida","France","National Pumpkin Festival","1525 Y","1019 A",409,1417,0,"Porcelain Doll",637.273307349068,"heavy"
"10","2389-P",3,1363.7153692171,"DSGCX","New York","Florida","USA","Regional Pumpkin Festival","1135 Y","1572 U",384,1250,11,"Porcelain Doll",618.465020053105,"heavy"
"11","2401-P",82,1364.53149987664,"ICAJA","Chicago","Texas","USA","National Pumpkin Festival","1099 R","1695 P",408,1434,-1,"Hooligan",618.835147336345,"heavy"
"12","2865-P",65,1295.35868124366,"UABAK","Los Angeles","California","France","National Pumpkin Festival","1165 V","1233 Y",379,1175,11,"White Pumpkin",587.464254532271,"heavy"
"13","2875-P",26,1286.10326659121,"RRAZS","Nottingham","Texas","France","National Pumpkin Festival","1794 V","1662 Q",393,1271,3,"White Pumpkin",583.266787569708,"heavy"
"14","2772-P",85,1273.00485815667,"JHUEZ","New York","Florida","USA","Local Pumpkin Festival","1882 N","1123 N",387,1237,3,"Hooligan",577.326466284202,"heavy"
"15","2940-P",78,1272.21788809448,"IKIKV","Nottingham","Texas","UK","Regional Pumpkin Festival","1603 H","1576 U",376,1162,13,"Porcelain Doll",576.969563761671,"heavy"
"16","2361-P",15,1265.40067875851,"YWKPT","Los Angeles","Texas","USA","National Pumpkin Festival","1171 C","1225 R",373,1151,11,"Hooligan",573.877858847397,"heavy"
"17","2712-P",5,1211.69056839589,"GBECB","Los Angeles","New York","France","Local Pumpkin Festival","1046 U","1693 U",380,1143,8,"Porcelain Doll",549.519532152331,"heavy"
"18","2253-P",41,1223.03804092947,"ROEZU","Houston","New York","USA","Local Pumpkin Festival","1191 D","1184 M",370,1105,8,"Porcelain Doll",554.665778199308,"heavy"
"19","2696-P",21,1206.58086664509,"NHETX","Chicago","Florida","USA","Local Pumpkin Festival","1127 N","1318 E",395,1272,-1,"Porcelain Doll",547.202207095279,"heavy"
"20","2706-P",52,1211.91466998681,"KSSEG","Nottingham","New York","France","Local Pumpkin Festival","1978 J","1327 V",380,1204,5,"Lady Godiva",549.6211655269,"heavy"
"21","2437-P",9,1202.65662244055,"OYWUB","New York","Florida","USA","Regional Pumpkin Festival","1652 P","1247 X",368,1101,11,"Hooligan",545.422504508188,"heavy"
"22","2700-P",88,1183.18114616442,"QNAPG","Chicago","California","USA","National Pumpkin Festival","1762 U","1967 W",367,1086,5,"Lady Godiva",536.590088963458,"heavy"
"23","2780-P",20,1167.9761900343,"HHDER","Houston","Florida","USA","Regional Pumpkin Festival","1225 Z","1009 R",372,1120,0,"Lady Godiva",529.694417249116,"heavy"
"24","2634-P",46,1165.6846628096,"AXZNH","New York","California","UK","National Pumpkin Festival","1808 P","1381 V",358,1037,17,"White Pumpkin",528.655175877368,"heavy"
"25","2905-P",56,1161.44242427684,"NLDEC","Paris","Texas","UK","Local Pumpkin Festival","1849 M","1925 X",374,1116,-1,"Lady Godiva",526.731258175439,"heavy"
"26","2654-P",42,1134.95512970164,"GPUWD","Chicago","Texas","USA","Regional Pumpkin Festival","1164 E","1084 B",394,1276,-6,"Hooligan",514.718879683285,"heavy"
"27","2117-P",18,1134.87699190788,"WQVAM","Los Angeles","California","USA","Local Pumpkin Festival","1086 E","1876 Z",364,1039,8,"Hooligan",514.683443042122,"heavy"
"28","2537-P",84,1140.04978456721,"UDJRN","Paris","Texas","UK","Regional Pumpkin Festival","1682 M","1016 O",353,993,19,"White Pumpkin",517.029380756103,"heavy"
"29","2237-P",79,1146.92764157243,"MYUKG","Houston","New York","UK","Regional Pumpkin Festival","1795 S","1734 H",377,1120,-4,"White Pumpkin",520.148590282281,"heavy"
"30","2595-P",24,1132.41032757796,"CAXFP","Nottingham","New York","USA","National Pumpkin Festival","1607 G","1478 J",382,1161,2,"Lady Godiva",513.564774411775,"heavy"
"31","2640-P",10,1125.00595269538,"TWZBZ","Nottingham","California","USA","National Pumpkin Festival","1258 I","1598 Y",378,1179,-5,"Lady Godiva",510.206781267748,"heavy"
"32","2498-P",48,1109.4255763758,"ZKHDM","Houston","New York","France","National Pumpkin Festival","1563 S","1254 E",363,1053,1,"Hooligan",503.14085096408,"heavy"
